"","No","Type","Land_type","City_code","Prefecture","City_name","District_name","Closet_station","Min_closet_station","Price","Unit_price_py","Room_number","Area_mm2","Unit_price_mm2","Land_shape","open_length","Building_area_mm2","Year_built_Japanese1","Year_built_Japanese2","Building_structure","Usage","Future_usage","Front_road_direction","Front_road_type","Front_road_open_length","City_plan","Building_rate","Floor_area_ratio","Year_traded","Quarter_traded","Remodeled","Note","Year_built_JapanesetoWestern","Year_built_western","Age"
"1",3,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","赤嶺","赤嶺","5",28000000,1234159.77962667,"４ＬＤＫ","75",NA,NA,NA,NA,"平成","8","ＲＣ","住宅","事務所",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2019","第４四半期","未改<U+88C5>",NA,1988,1996,23
"2",4,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","赤嶺","赤嶺","0",34000000,1404958.6777,"４ＬＤＫ","80",NA,NA,NA,NA,"平成","16","ＳＲＣ","住宅","住宅",NA,NA,NA,"近<U+96A3>商業地域",80,200,"2019","第４四半期","未改<U+88C5>",NA,1988,2004,15
"3",6,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","赤嶺","赤嶺","0",29000000,1369539.55137143,"３ＬＤＫ","70",NA,NA,NA,NA,"平成","16","ＳＲＣ","住宅","<U+305D><U+306E>他",NA,NA,NA,"近<U+96A3>商業地域",80,200,"2019","第２四半期","未改<U+88C5>",NA,1988,2004,15
"4",8,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","赤嶺","赤嶺","7",23000000,1169739.35156923,"３ＬＤＫ","65",NA,NA,NA,NA,"平成","9","ＲＣ","住宅","住宅",NA,NA,NA,"第２種中高層住居<U+5C02>用地域",60,200,"2017","第４四半期","未改<U+88C5>",NA,1988,1997,20
"5",9,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","赤嶺","赤嶺","6",23000000,1169739.35156923,"３ＬＤＫ","65",NA,NA,NA,NA,"平成","8","ＲＣ","住宅",NA,NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2017","第３四半期","未改<U+88C5>",NA,1988,1996,21
"6",10,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","赤嶺","赤嶺","5",17000000,864589.955507692,"３ＬＤＫ","65",NA,NA,NA,NA,"平成","5","ＲＣ","住宅","住宅",NA,NA,NA,"第１種住居地域",60,200,"2017","第１四半期","未改<U+88C5>",NA,1988,1993,24
"7",11,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","赤嶺","赤嶺","8",24000000,1133412.04251429,"３ＬＤＫ","70",NA,NA,NA,NA,"平成","8","ＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2016","第４四半期","改<U+88C5><U+6E08>",NA,1988,1996,20
"8",17,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","曙","古島","30分?60分",23000000,950413.22315,"２ＬＤＫ","80",NA,NA,NA,NA,"平成","18","ＲＣ","住宅","住宅",NA,NA,NA,"商業地域",80,400,"2016","第１四半期","未改<U+88C5>",NA,1988,2006,10
"9",19,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","曙","美<U+6804>橋","30分?60分",25000000,972289.742352941,"３ＬＤＫ","85",NA,NA,NA,NA,NA,NA,"ＲＣ","住宅","住宅",NA,NA,NA,NA,NA,NA,"2016","第２四半期","未改<U+88C5>",NA,0,NA,NA
"10",22,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","曙",NA,NA,55000000,2139037.43317647,"３ＬＤＫ","85",NA,NA,NA,NA,"平成","29","ＲＣ","住宅","住宅",NA,NA,NA,"準住居地域",60,200,"2020","第１四半期","未改<U+88C5>",NA,1988,2017,3
